year,mean_ndvi
1999,0.13019677359250642
2004,0.08051339319914005
2009,0.07853269285741943
2014,0.2675737626339111
2019,0.24027958227831883
2020,0.3523591588629159
2021,0.2622966683499284
2022,0.22379824273415064
2023,0.3131090647446716
